Date,High,Low,Open,Close,Volume,Adj Close,5_p,10_p,20_p,50_p,WVAP_1,WVAP_2,RSI,12,26,MACD,Signal
02-01-2020,49.25,46.63,46.86,49.1,80331100,49.1,,,,,,,,49.1,49.1,0,0
03-01-2020,49.39,47.54,48.03,48.6,73127400,48.6,,,,,,,,49.023,49.063,-0.04,-0.008
06-01-2020,48.86,47.86,48.02,48.39,47934900,48.39,,,,,,,,48.926,49.013,-0.087,-0.024
07-01-2020,49.39,48.04,49.35,48.25,58061400,48.25,,,,,,,,48.822,48.957,-0.135,-0.046
08-01-2020,48.3,47.14,47.85,47.83,53767000,47.83,48.434,,,,,,,48.669,48.873,-0.204,-0.078
09-01-2020,49.96,48.39,48.94,48.97,76512800,48.97,48.408,,,,,,,48.715,48.88,-0.165,-0.095
10-01-2020,49.29,48,49.26,48.17,44133700,48.17,48.322,,,,,,,48.632,48.828,-0.196,-0.115
13-01-2020,48.86,48.24,48.66,48.75,34266800,48.75,48.394,,,,,,,48.65,48.822,-0.172,-0.127
14-01-2020,49.04,47.91,48.64,48.21,38563200,48.21,48.386,,,,,,,48.582,48.777,-0.195,-0.14
15-01-2020,49.08,48.12,48.23,48.55,40199900,48.55,48.53,48.482,,,,,,48.577,48.76,-0.183,-0.149
16-01-2020,50.31,48.99,49.17,49.77,58898900,49.77,48.69,48.549,,,,,55.688,48.761,48.835,-0.074,-0.134
17-01-2020,51.05,49.9,50.2,50.93,57722500,50.93,49.242,48.782,,,,,67.786,49.094,48.99,0.105,-0.086
21-01-2020,51.81,50.7,50.96,51.05,49095000,51.05,49.702,49.048,,,,,70.588,49.395,49.142,0.253,-0.018
22-01-2020,51.88,51.2,51.63,51.43,40772200,51.43,50.346,49.366,,,,,73.731,49.708,49.312,0.396,0.065
23-01-2020,51.75,50.74,51.34,51.71,40135400,51.71,50.978,49.754,,,,,79.573,50.016,49.49,0.527,0.157
24-01-2020,52.81,49.47,52.28,50.35,80004900,50.35,51.094,49.892,,,,,60.177,50.068,49.553,0.514,0.228
27-01-2020,49.79,47.9,48.45,49.26,48878600,49.26,50.76,50.001,,,,,57.709,49.943,49.532,0.412,0.265
28-01-2020,50.85,49.48,50.03,50.53,62343800,50.53,50.656,50.179,,,,,61.469,50.034,49.606,0.428,0.298
29-01-2020,48.07,46.1,47.84,47.51,112349900,47.51,49.872,50.109,,,,,46.582,49.645,49.45,0.195,0.277
30-01-2020,48.81,46.13,46.49,48.78,70460200,48.78,49.286,50.132,49.307,,49.21,,51.03,49.512,49.401,0.112,0.244
31-01-2020,48.58,46.79,48.4,47,60322400,47,48.616,49.855,49.202,,49.102,,38.193,49.126,49.223,-0.097,0.176
03-02-2020,48.1,46.23,46.4,48.02,46983500,48.02,48.368,49.564,49.173,,49.089,,37.446,48.956,49.134,-0.178,0.105
04-02-2020,49.75,48.61,49.21,49.45,46302100,49.45,48.152,49.404,49.226,,49.134,,43.798,49.032,49.157,-0.125,0.059
05-02-2020,50.42,49.31,50.29,49.84,42737100,49.84,48.618,49.245,49.305,,49.208,,43.842,49.156,49.208,-0.052,0.037
06-02-2020,49.39,47.63,48.8,49.32,48670600,49.32,48.726,49.006,49.38,,49.28,,40.913,49.181,49.216,-0.035,0.023
07-02-2020,50.67,48.64,48.91,49.73,53107600,49.73,49.272,48.944,49.418,,49.324,,47.459,49.266,49.254,0.012,0.02
10-02-2020,52.3,49.35,49.47,52.26,60971700,52.26,50.12,49.244,49.622,,49.535,,60.997,49.726,49.477,0.25,0.066
11-02-2020,54.48,52.91,53.22,53.8,74719100,53.8,50.99,49.571,49.875,,49.84,,61.754,50.353,49.797,0.556,0.164
12-02-2020,54.85,53.53,54.53,53.89,45994900,53.89,51.8,50.209,50.159,,50.058,,79.053,50.897,50.1,0.797,0.291
13-02-2020,55.03,53.34,53.43,54.53,51640000,54.53,52.842,50.784,50.458,,50.311,,77.778,51.456,50.428,1.028,0.438
14-02-2020,55.4,54.56,55.19,55.31,52365400,55.31,53.958,51.615,50.735,,50.568,,94.438,52.049,50.79,1.259,0.602
18-02-2020,58.13,54.84,54.94,56.89,70133200,56.89,54.884,52.502,51.033,,50.932,,94.753,52.794,51.242,1.552,0.792
19-02-2020,59.27,57.51,57.99,58.9,58597300,58.9,55.904,53.447,51.425,,51.327,,95.043,53.733,51.809,1.924,1.019
20-02-2020,59.02,56.15,58.44,57.27,74203400,57.27,56.58,54.19,51.717,,51.691,,81.671,54.277,52.214,2.064,1.228
21-02-2020,56.8,52.89,56.71,53.28,88271100,53.28,56.33,54.586,51.796,,51.803,,63.026,54.124,52.293,1.831,1.348
24-02-2020,50.28,47.49,48.18,49.12,86624100,49.12,55.092,54.525,51.734,,51.71,,48.391,53.354,52.058,1.296,1.338
25-02-2020,51.24,47.12,51.14,47.57,88699400,47.57,53.228,54.056,51.65,,51.519,,36.95,52.464,51.725,0.739,1.218
