Date,High,Low,Open,Close,Volume,Adj Close,5_p,10_p,20_p,50_p,WVAP_1,WVAP_2,RSI,12,26,MACD,Signal
2020-01-02,60.97,60.22,60.24,60.84,18056000,60.202,,,,,,,,60.84,60.84,0,0
2020-01-03,60.7,59.81,59.81,60.1,15293900,59.47,,,,,,,,60.726,60.785,-0.059,-0.012
2020-01-06,60.2,59.33,59.59,59.93,17755200,59.301,,,,,,,,60.604,60.722,-0.118,-0.033
2020-01-07,59.8,58.89,59.78,58.93,21876100,58.312,,,,,,,,60.346,60.589,-0.243,-0.075
2020-01-08,59.32,58.52,58.89,58.97,23133500,58.351,59.754,,,,,,,60.134,60.469,-0.335,-0.127
2020-01-09,59.51,58.83,59.05,59.3,18813300,58.678,59.446,,,,,,,60.006,60.383,-0.376,-0.177
2020-01-10,60.08,58.87,59.57,58.94,15200600,58.322,59.214,,,,,,,59.842,60.276,-0.434,-0.228
2020-01-13,59.78,59.08,59.17,59.59,16453300,58.965,59.146,,,,,,,59.803,60.225,-0.422,-0.267
2020-01-14,59.74,59.19,59.49,59.43,17051200,58.807,59.246,,,,,,,59.746,60.166,-0.42,-0.298
2020-01-15,59.65,58.75,59.3,58.94,18498800,58.322,59.24,59.497,,,,,,59.622,60.075,-0.453,-0.329
2020-01-16,59.84,59.07,59.26,59.66,21365500,59.034,59.312,59.379,,,,,37.339,59.628,60.044,-0.417,-0.346
2020-01-17,60,59.24,59.98,59.6,21803400,58.975,59.444,59.329,,,,,43.719,59.623,60.012,-0.388,-0.355
2020-01-21,61.25,59.79,59.81,60.55,28358500,59.915,59.636,59.391,,,,,56.513,59.766,60.051,-0.285,-0.341
2020-01-22,62.85,60.97,61.04,62.73,29475100,62.072,60.296,59.771,,,,,81.986,60.222,60.25,-0.028,-0.278
2020-01-23,63.71,62.81,62.86,63.32,42778700,62.656,61.172,60.206,,,,,83.513,60.699,60.477,0.221,-0.178
2020-01-24,69.29,66.46,66.57,68.47,84711000,67.752,62.934,61.123,,,,,90.539,61.894,61.069,0.825,0.022
2020-01-27,67.42,65.6,66.72,65.69,30764000,65.001,64.152,61.798,,,,,74.581,62.478,61.412,1.067,0.231
