Day,Date,Close
1,02-01-2020,49.1
2,03-01-2020,48.6
3,06-01-2020,48.39
4,07-01-2020,48.25
5,08-01-2020,47.83
6,09-01-2020,48.97
7,10-01-2020,48.17
8,13-01-2020,48.75
9,14-01-2020,48.21
10,15-01-2020,48.55
11,16-01-2020,49.77
12,17-01-2020,50.93
13,21-01-2020,51.05
14,22-01-2020,51.43
15,23-01-2020,51.71
16,24-01-2020,50.35
17,27-01-2020,49.26
18,28-01-2020,50.53
19,29-01-2020,47.51
20,30-01-2020,48.78
21,31-01-2020,47
22,03-02-2020,48.02
23,04-02-2020,49.45
24,05-02-2020,49.84
25,06-02-2020,49.32
26,07-02-2020,49.73
27,10-02-2020,52.26
28,11-02-2020,53.8
29,12-02-2020,53.89
30,13-02-2020,54.53
31,14-02-2020,55.31
32,18-02-2020,56.89
33,19-02-2020,58.9
34,20-02-2020,57.27
35,21-02-2020,53.28
36,24-02-2020,49.12
37,25-02-2020,47.57
38,26-02-2020,47.49
39,27-02-2020,44.01
40,28-02-2020,45.48
41,02-03-2020,47.46
42,03-03-2020,46.75
43,04-03-2020,50.11
44,05-03-2020,48.11
45,06-03-2020,48.59
46,09-03-2020,43.27
47,10-03-2020,45.38
48,11-03-2020,45.7
49,12-03-2020,39.01
50,13-03-2020,43.9
51,16-03-2020,38.71
52,17-03-2020,41.88
53,18-03-2020,39.12
54,19-03-2020,39.82
55,20-03-2020,39.61
56,23-03-2020,41.64
57,24-03-2020,46.22
58,25-03-2020,44.63
59,26-03-2020,47.5
60,27-03-2020,46.58
61,30-03-2020,47.86
62,31-03-2020,45.48
63,01-04-2020,43.66
64,02-04-2020,44.49
65,03-04-2020,42.59
66,06-04-2020,47.52
67,07-04-2020,47.56
68,08-04-2020,48.79
69,09-04-2020,48.38
70,13-04-2020,50.94
71,14-04-2020,54.93
72,15-04-2020,54.99
73,16-04-2020,56.95
74,17-04-2020,56.6
75,20-04-2020,56.97
76,21-04-2020,52.92
77,22-04-2020,55.92
78,23-04-2020,55.9
79,24-04-2020,56.18
80,27-04-2020,56.49
81,28-04-2020,55.51
82,29-04-2020,53.66
83,30-04-2020,52.39
84,01-05-2020,49.88
85,04-05-2020,52.56
86,05-05-2020,52.19
87,06-05-2020,52.16
88,07-05-2020,51.95
89,08-05-2020,53.19
90,11-05-2020,55.74
91,12-05-2020,53.76
92,13-05-2020,52.18
93,14-05-2020,54.51
94,15-05-2020,54.2
95,18-05-2020,54.59
96,19-05-2020,55.47
97,20-05-2020,56.39
98,21-05-2020,54.65
99,22-05-2020,55.17
100,26-05-2020,53.19
101,27-05-2020,52.74
102,28-05-2020,51.74
103,29-05-2020,53.8
104,01-06-2020,53.63
105,02-06-2020,53.54
106,03-06-2020,52.73
107,04-06-2020,52.63
108,05-06-2020,53.1
109,08-06-2020,52.97
110,09-06-2020,56.39
111,10-06-2020,57.44
112,11-06-2020,52.83
113,12-06-2020,53.5
114,15-06-2020,54.68
115,16-06-2020,54.46
116,17-06-2020,54.55
117,18-06-2020,54.04
118,19-06-2020,54.23
119,22-06-2020,54.76
120,23-06-2020,53.99
121,24-06-2020,52.39
122,25-06-2020,51.93
123,26-06-2020,50.1
124,29-06-2020,50.28
125,30-06-2020,52.61
126,01-07-2020,52.58
127,02-07-2020,52.34
128,06-07-2020,53.4
129,07-07-2020,52.93
130,08-07-2020,53.43
131,09-07-2020,57.26
132,10-07-2020,55.88
133,13-07-2020,53.59
134,14-07-2020,54.72
135,15-07-2020,55.34
136,16-07-2020,54.92
137,17-07-2020,55.04
138,20-07-2020,57.46
139,21-07-2020,57
140,22-07-2020,61.79
141,23-07-2020,59.57
142,24-07-2020,69.4
143,27-07-2020,68.97
144,28-07-2020,67.61
145,29-07-2020,76.09
146,30-07-2020,78.2
147,31-07-2020,77.43
148,03-08-2020,77.67
,,
,Drill Up(Data Aggregation),
,31-01-2020,47
,28-02-2020,45.48
,31-03-2020,45.48
,30-04-2020,52.39
,29-05-2020,53.8
,30-06-2020,52.61
,31-07-2020,77.43
