Day,Date,Adj Close
1,2020-01-02,60.202
2,2020-01-03,59.47
3,2020-01-06,59.301
4,2020-01-07,58.312
5,2020-01-08,58.351
6,2020-01-09,58.678
7,2020-01-10,58.322
8,2020-01-13,58.965
9,2020-01-14,58.807
10,2020-01-15,58.322
11,2020-01-16,59.034
12,2020-01-17,58.975
13,2020-01-21,59.915
14,2020-01-22,62.072
15,2020-01-23,62.656
16,2020-01-24,67.752
17,2020-01-27,65.001
18,2020-01-28,66.604
19,2020-01-29,65.634
20,2020-01-30,65.773
21,2020-01-31,63.259
22,2020-02-03,63.744
23,2020-02-04,64.773
24,2020-02-05,66.634
25,2020-02-06,66.713
26,2020-02-07,65.649
27,2020-02-10,66.017
28,2020-02-11,67.031
29,2020-02-12,67.081
30,2020-02-13,67.061
31,2020-02-14,66.892
32,2020-02-18,65.768
33,2020-02-19,66.733
34,2020-02-20,65.082
35,2020-02-21,63.979
36,2020-02-24,61.413
37,2020-02-25,59.394
38,2020-02-26,59.315
39,2020-02-27,55.516
40,2020-02-28,55.208
41,2020-03-02,57.853
42,2020-03-03,55.656
43,2020-03-04,58.35
44,2020-03-05,56.64
45,2020-03-06,55.457
46,2020-03-09,50.564
47,2020-03-10,53.677
48,2020-03-11,51.37
49,2020-03-12,45.284
50,2020-03-13,54.124
51,2020-03-16,44.359
52,2020-03-17,49.799
53,2020-03-18,47.343
54,2020-03-19,45.682
55,2020-03-20,45.573
56,2020-03-23,49.302
57,2020-03-24,52.106
58,2020-03-25,50.972
59,2020-03-26,55.228
60,2020-03-27,52.076
61,2020-03-30,55.178
62,2020-03-31,53.816
63,2020-04-01,51.589
64,2020-04-02,54.045
65,2020-04-03,53.826
66,2020-04-06,58.102
67,2020-04-07,58.072
68,2020-04-08,58.649
69,2020-04-09,56.819
70,2020-04-13,58.37
71,2020-04-14,60.319
72,2020-04-15,58.539
73,2020-04-16,60.449
74,2020-04-17,60.021
75,2020-04-20,58.848
76,2020-04-21,56.043
77,2020-04-22,59.762
78,2020-04-23,58.708
79,2020-04-24,58.927
80,2020-04-27,59.136
81,2020-04-28,58.42
82,2020-04-29,61.453
83,2020-04-30,59.643
84,2020-05-01,57.147
85,2020-05-04,57.664
86,2020-05-05,58.42
87,2020-05-06,59.18
88,2020-05-07,59.17
89,2020-05-08,59.67
90,2020-05-11,60.13
91,2020-05-12,58.39
92,2020-05-13,57.74
93,2020-05-14,59.08
94,2020-05-15,58.28
95,2020-05-18,59.92
96,2020-05-19,60.29
97,2020-05-20,63.1
98,2020-05-21,61.98
99,2020-05-22,62.26
100,2020-05-26,62.34
101,2020-05-27,63.56
102,2020-05-28,61.7
103,2020-05-29,62.93
104,2020-06-01,61.86
105,2020-06-02,62.12
106,2020-06-03,61.93
107,2020-06-04,62.97
108,2020-06-05,64.34
109,2020-06-08,63.67
110,2020-06-09,63.04
111,2020-06-10,63.87
112,2020-06-11,59.7
113,2020-06-12,59.33
114,2020-06-15,60.1
115,2020-06-16,60.4
116,2020-06-17,60.49
117,2020-06-18,60.08
118,2020-06-19,59.62
119,2020-06-22,60.09
120,2020-06-23,59.92
121,2020-06-24,59.09
122,2020-06-25,58.51
123,2020-06-26,57.5
124,2020-06-29,58.27
125,2020-06-30,59.83
126,2020-07-01,58.81
127,2020-07-02,59.13
128,2020-07-06,59.54
129,2020-07-07,58.31
130,2020-07-08,58.61
131,2020-07-09,58.42
132,2020-07-10,59.53
133,2020-07-13,58.58
134,2020-07-14,58.98
135,2020-07-15,59.03
136,2020-07-16,59.14
137,2020-07-17,60
138,2020-07-20,61.15
139,2020-07-21,60.7
140,2020-07-22,61.05
141,2020-07-23,60.4
142,2020-07-24,50.59
143,2020-07-27,49.57
144,2020-07-28,49.24
145,2020-07-29,48.07
146,2020-07-30,47.99
147,2020-07-31,47.73
148,2020-08-03,48.3
,,
,,
,,
,,
,,
,,
,,
,,
,,
