Day,Date,Close
1,02-01-2020,60.04
2,03-01-2020,58.06
3,06-01-2020,57.39
4,07-01-2020,58.32
5,08-01-2020,58.75
6,09-01-2020,59.23
7,10-01-2020,58.86
8,13-01-2020,60.06
9,14-01-2020,60.32
10,15-01-2020,58.39
11,16-01-2020,58.75
12,17-01-2020,58.58
13,21-01-2020,58.24
14,22-01-2020,58.35
15,23-01-2020,57.48
16,24-01-2020,57.73
17,27-01-2020,55.26
18,28-01-2020,57.09
19,29-01-2020,57.19
20,30-01-2020,55.8
21,31-01-2020,53.94
22,03-02-2020,54.77
23,04-02-2020,57.52
24,05-02-2020,57.92
25,06-02-2020,58.02
26,07-02-2020,56.2
27,10-02-2020,57.02
28,11-02-2020,58.66
29,12-02-2020,59.63
30,13-02-2020,59.33
31,14-02-2020,58.19
32,18-02-2020,56.18
33,19-02-2020,57.64
34,20-02-2020,56.48
35,21-02-2020,55.59
36,24-02-2020,54.12
37,25-02-2020,53.86
38,26-02-2020,55.03
39,27-02-2020,53.29
40,28-02-2020,53.84
41,02-03-2020,55.98
42,03-03-2020,54.88
43,04-03-2020,57.08
44,05-03-2020,55.73
45,06-03-2020,55.07
46,09-03-2020,51.83
47,10-03-2020,54.51
48,11-03-2020,52.24
49,12-03-2020,48.69
50,13-03-2020,52.23
51,16-03-2020,44.9
52,17-03-2020,48.54
53,18-03-2020,44.37
54,19-03-2020,43.89
55,20-03-2020,44.53
56,23-03-2020,45.26
57,24-03-2020,48.87
58,25-03-2020,49
59,26-03-2020,49.87
60,27-03-2020,46.91
61,30-03-2020,47.82
62,31-03-2020,47.79
63,01-04-2020,46.51
64,02-04-2020,48.13
65,03-04-2020,47.06
66,06-04-2020,49.97
67,07-04-2020,49.72
68,08-04-2020,50.27
69,09-04-2020,48.33
70,13-04-2020,48.75
71,14-04-2020,50.63
72,15-04-2020,49.66
73,16-04-2020,52.4
74,17-04-2020,53.69
75,20-04-2020,52.59
76,21-04-2020,51.37
77,22-04-2020,52.95
78,23-04-2020,52.64
79,24-04-2020,52.73
80,27-04-2020,53.51
81,28-04-2020,52.76
82,29-04-2020,54.48
83,30-04-2020,53.13
84,01-05-2020,51.1
85,04-05-2020,52.15
86,05-05-2020,51.71
87,06-05-2020,52.13
88,07-05-2020,52.33
89,08-05-2020,52.91
90,11-05-2020,52.4
91,12-05-2020,51.1
92,13-05-2020,50.92
93,14-05-2020,52.1
94,15-05-2020,49.8
95,18-05-2020,51.87
96,19-05-2020,50.81
97,20-05-2020,51.84
98,21-05-2020,50.75
99,22-05-2020,49.8
100,26-05-2020,50.82
101,27-05-2020,51.74
102,28-05-2020,50.28
103,29-05-2020,50.33
104,01-06-2020,51.03
105,02-06-2020,52.01
106,03-06-2020,53.06
107,04-06-2020,54.28
108,05-06-2020,55.2
109,08-06-2020,55.57
110,09-06-2020,56.61
111,10-06-2020,57.55
112,11-06-2020,55.04
113,12-06-2020,56
114,15-06-2020,56.02
115,16-06-2020,55.8
116,17-06-2020,56.6
117,18-06-2020,56.15
118,19-06-2020,55.31
119,22-06-2020,56
120,23-06-2020,56.76
121,24-06-2020,56.58
122,25-06-2020,57.04
123,26-06-2020,56.33
124,29-06-2020,56.39
125,30-06-2020,56.77
126,01-07-2020,56.82
127,02-07-2020,58.62
128,06-07-2020,61.88
129,07-07-2020,60.71
130,08-07-2020,62.59
131,09-07-2020,64.78
132,10-07-2020,63.85
133,13-07-2020,65.07
134,14-07-2020,66.96
135,15-07-2020,66.06
136,16-07-2020,66.59
137,17-07-2020,66.4
138,20-07-2020,66.89
139,21-07-2020,67.81
140,22-07-2020,68.53
141,23-07-2020,67.37
142,24-07-2020,73.9
143,27-07-2020,83.25
144,28-07-2020,76.92
145,29-07-2020,82.67
146,30-07-2020,79.93
147,31-07-2020,78.89
148,03-08-2020,78.95
