Date,High,Low,Open,Close,Volume,Adj Close,5_p,10_p,20_p,50_p,WVAP_1,WVAP_2,RSI,12,26,MACD,Signal
02-01-2020,60.12,59.6,59.6,60.04,8432600,59.03,,,,,,,,60.04,60.04,0,0
03-01-2020,58.98,58.04,58.97,58.06,10546400,57.084,,,,,,,,59.735,59.893,-0.158,-0.032
06-01-2020,57.69,57.13,57.6,57.39,8897200,56.425,,,,,,,,59.375,59.708,-0.333,-0.092
07-01-2020,58.6,56.74,57.45,58.32,7444300,57.339,,,,,,,,59.212,59.605,-0.393,-0.152
08-01-2020,58.98,58.11,58.19,58.75,5381500,57.762,58.512,,,,,,,59.141,59.542,-0.401,-0.202
09-01-2020,59.71,58.7,59.69,59.23,5112700,58.234,58.35,,,,,,,59.155,59.519,-0.364,-0.234
10-01-2020,59.7,58.77,59.7,58.86,4807700,57.87,58.51,,,,,,,59.109,59.47,-0.36,-0.259
13-01-2020,60.16,59.45,60.15,60.06,6613700,59.05,59.044,,,,,,,59.256,59.514,-0.258,-0.259
14-01-2020,60.64,59.92,60.16,60.32,6715200,59.306,59.444,,,,,,,59.419,59.573,-0.154,-0.238
15-01-2020,59.7,58.26,59.67,58.39,10075100,57.408,59.372,58.942,,,,,,59.261,59.486,-0.225,-0.235
16-01-2020,59.69,58.3,59.2,58.75,11215700,57.762,59.276,58.813,,,,,42.509,59.182,59.431,-0.249,-0.238
17-01-2020,58.75,58.01,58.64,58.58,8125700,57.595,59.22,58.865,,,,,53.824,59.09,59.368,-0.278,-0.246
21-01-2020,59,57.47,57.99,58.24,9873700,57.261,58.856,58.95,,,,,56.569,58.959,59.285,-0.326,-0.262
22-01-2020,58.94,58.32,58.9,58.35,8124500,57.369,58.462,58.953,,,,,50.265,58.865,59.215,-0.35,-0.28
23-01-2020,58.07,56.62,57.86,57.48,9999200,56.513,58.28,58.826,,,,,39.573,58.652,59.087,-0.435,-0.311
24-01-2020,58.14,57.46,58.09,57.73,10402200,56.759,58.076,58.676,,,,,37.201,58.51,58.986,-0.476,-0.344
27-01-2020,55.99,55.06,55.62,55.26,9675500,54.331,57.412,58.316,,,,,27.387,58.01,58.71,-0.7,-0.415
28-01-2020,57.12,55.48,55.73,57.09,8124400,56.13,57.182,58.019,,,,,32.712,57.869,58.59,-0.722,-0.476
29-01-2020,57.52,56.85,57.52,57.19,7693400,56.228,56.95,57.706,,,,,31.435,57.764,58.487,-0.722,-0.525
30-01-2020,56.04,55.06,55.08,55.8,10295700,54.862,56.614,57.447,58.194,,58.059,,33.587,57.462,58.288,-0.825,-0.585
31-01-2020,55.48,53.6,55.43,53.94,13467200,53.033,55.856,56.966,57.889,,57.641,,24.388,56.92,57.965,-1.045,-0.677
03-02-2020,54.94,54.14,54.35,54.77,9594300,53.849,55.758,56.585,57.725,,57.455,,31.045,56.589,57.729,-1.139,-0.77
04-02-2020,57.64,56.9,56.92,57.52,12746600,56.553,55.844,56.513,57.731,,57.463,,47.111,56.733,57.713,-0.981,-0.812
05-02-2020,58.15,57.17,58.1,57.92,6594400,56.946,55.99,56.47,57.711,,57.444,,48.314,56.915,57.729,-0.813,-0.812
06-02-2020,58.28,57.28,58.27,58.02,4236300,57.044,56.434,56.524,57.675,,57.417,,52.254,57.085,57.75,-0.665,-0.783
07-02-2020,57.14,56.06,57.14,56.2,6808400,55.255,56.886,56.371,57.523,,57.317,,44.354,56.949,57.635,-0.686,-0.764
10-02-2020,57.05,56.34,56.44,57.02,4281200,56.061,57.336,56.547,57.431,,57.267,,57.395,56.96,57.59,-0.63,-0.737
11-02-2020,58.9,57.81,57.95,58.66,6523200,57.674,57.564,56.704,57.361,,57.213,,56.704,57.221,57.669,-0.448,-0.679
12-02-2020,59.75,58.9,59.25,59.63,5962900,58.627,57.906,56.948,57.327,,57.176,,59.698,57.592,57.814,-0.222,-0.588
13-02-2020,59.7,58.74,59.13,59.33,6460100,58.332,58.168,57.301,57.374,,57.186,,65.361,57.859,57.927,-0.067,-0.484
14-02-2020,59.17,57.87,59.02,58.19,6932400,57.211,58.566,57.726,57.346,,57.122,,69.731,57.91,57.946,-0.036,-0.394
18-02-2020,56.56,55.63,56.1,56.18,10989000,55.235,58.398,57.867,57.226,,56.991,,55.9,57.644,57.815,-0.171,-0.349
19-02-2020,57.94,57,57.25,57.64,7866300,56.671,58.194,57.879,57.196,,56.948,,50.563,57.643,57.802,-0.159,-0.311
20-02-2020,57.04,55.81,56.94,56.48,7192900,55.53,57.564,57.735,57.102,,56.859,,43.695,57.464,57.704,-0.24,-0.297
21-02-2020,56.65,55.52,56.65,55.59,6816600,54.655,56.816,57.492,57.008,,56.767,,40.049,57.176,57.548,-0.372,-0.312
24-02-2020,54.69,53.18,53.55,54.12,9968800,53.21,56.002,57.284,56.827,,56.543,,41.231,56.706,57.294,-0.588,-0.367
25-02-2020,55.47,53.83,55.33,53.86,12670700,52.954,55.538,56.968,56.757,,56.412,,36.018,56.268,57.039,-0.771,-0.448
26-02-2020,55.41,54.38,54.49,55.03,10969300,54.105,55.016,56.605,56.654,,56.289,,33.241,56.078,56.891,-0.813,-0.521
27-02-2020,54.6,53.27,54.2,53.29,11878900,52.394,54.378,55.971,56.459,,56.042,,22.672,55.649,56.624,-0.975,-0.612
28-02-2020,54.05,51,51.35,53.84,13607700,52.935,54.028,55.422,56.361,,55.886,,26.835,55.37,56.418,-1.047,-0.699
02-03-2020,56.01,53.83,54.37,55.98,13797700,55.039,54.4,55.201,56.464,,56.042,,41.401,55.464,56.385,-0.921,-0.743
03-03-2020,56.37,54.04,56.3,54.88,14661800,53.957,54.604,55.071,56.469,,56.015,,44.556,55.374,56.274,-0.899,-0.775
04-03-2020,57.09,55.55,55.97,57.08,9878200,56.12,55.014,55.015,56.447,,55.967,,47.792,55.637,56.333,-0.697,-0.759
05-03-2020,56.39,55.25,56.11,55.73,10004200,54.793,55.502,54.94,56.338,,55.883,,47.086,55.651,56.289,-0.638,-0.735
06-03-2020,55.08,53.97,54.6,55.07,12971200,54.144,55.748,54.888,56.19,,55.78,,47.943,55.562,56.199,-0.637,-0.715
09-03-2020,54.14,51.06,51.55,51.83,13781100,50.958,54.918,54.659,55.972,,55.489,,42.054,54.988,55.875,-0.887,-0.75
10-03-2020,54.62,52.49,53.71,54.51,11698700,53.593,54.844,54.724,55.846,,55.401,,51.931,54.914,55.774,-0.86,-0.772
11-03-2020,53.56,52.09,53.11,52.24,14498000,51.361,53.876,54.445,55.525,,55.086,,42.22,54.503,55.512,-1.009,-0.819
12-03-2020,50.99,48.51,49.66,48.69,15942200,47.871,52.468,53.985,54.978,,54.506,,38.349,53.608,55.007,-1.398,-0.935
13-03-2020,52.46,49.29,51.9,52.23,14948700,51.352,51.9,53.824,54.623,56.587,54.224,,46.458,53.396,54.801,-1.405,-1.029
16-03-2020,48.35,44.9,46.34,44.9,16628200,44.145,50.514,52.716,53.959,56.284,53.466,,30.158,52.089,54.068,-1.978,-1.219
17-03-2020,48.56,45.03,45.75,48.54,13415700,47.724,49.32,52.082,53.577,56.094,53.071,,39.593,51.543,53.658,-2.115,-1.398
18-03-2020,46.09,43.26,43.8,44.37,15018500,43.624,47.746,50.811,52.913,55.834,52.406,,30.404,50.44,52.97,-2.531,-1.625
19-03-2020,45.18,42.7,43.74,43.89,11182600,43.561,46.786,49.627,52.284,55.545,51.916,,31.242,49.432,52.298,-2.866,-1.873
20-03-2020,48.28,44.48,48.02,44.53,14157700,44.197,45.246,48.573,51.731,55.261,51.421,,33.291,48.678,51.722,-3.044,-2.107
23-03-2020,45.61,43.52,45.12,45.26,10508600,44.921,45.318,47.916,51.288,54.981,51.071,,38.684,48.152,51.243,-3.091,-2.304
24-03-2020,48.92,47.5,48,48.87,12216200,48.504,45.384,47.352,51.038,54.781,50.833,,40.587,48.262,51.068,-2.805,-2.404
25-03-2020,50.05,48.05,49.3,49,9796600,48.633,46.31,47.028,50.736,54.56,50.588,,44.177,48.376,50.915,-2.539,-2.431
26-03-2020,50.46,48.92,49.1,49.87,10577500,49.497,47.506,47.146,50.565,54.351,50.435,,52.347,48.606,50.837,-2.231,-2.391
27-03-2020,48.09,46.51,47.23,46.91,12158500,46.559,47.982,46.614,50.219,54.122,50.089,54.005,39.169,48.345,50.546,-2.201,-2.353
30-03-2020,48.16,46.77,47.18,47.82,8428300,47.462,48.494,46.906,49.811,53.903,49.691,53.833,58.049,48.264,50.344,-2.08,-2.299
31-03-2020,49.03,47.66,47.8,47.79,9595700,47.432,48.278,46.831,49.456,53.687,49.31,53.662,47.419,48.191,50.155,-1.964,-2.232
01-04-2020,47.56,46.3,46.83,46.51,8755200,46.162,47.78,47.045,48.928,53.453,48.899,53.503,59.192,47.933,49.885,-1.953,-2.176
02-04-2020,48.22,46.61,46.92,48.13,6174700,47.77,47.432,47.469,48.548,53.248,48.597,53.387,66.588,47.963,49.755,-1.792,-2.099
03-04-2020,48.15,46.78,47.79,47.06,5486200,46.708,47.462,47.722,48.147,53.04,48.204,53.281,59.576,47.824,49.555,-1.731,-2.026
06-04-2020,50.1,48.51,48.63,49.97,7370300,49.596,47.892,48.193,48.054,52.885,48.042,53.19,65.302,48.154,49.586,-1.432,-1.907
07-04-2020,51.32,49.66,51.29,49.72,6568700,49.348,48.278,48.278,47.815,52.774,47.753,53.107,53.533,48.395,49.596,-1.201,-1.766
08-04-2020,50.6,49.54,50.21,50.27,6325900,49.894,49.03,48.405,47.716,52.637,47.525,53.001,55.1,48.684,49.646,-0.962,-1.605
09-04-2020,50.66,47.72,50.28,48.33,12279600,47.968,49.07,48.251,47.699,52.46,47.484,52.825,44.305,48.629,49.549,-0.919,-1.468
13-04-2020,49.09,47.96,48.74,48.75,9873200,48.385,49.408,48.435,47.525,52.319,47.201,52.667,58.379,48.648,49.489,-0.842,-1.343
14-04-2020,51.27,49.95,50,50.63,11068800,50.251,49.54,48.716,47.811,52.253,47.58,52.518,61.757,48.953,49.574,-0.621,-1.198
15-04-2020,49.97,49.04,49.76,49.66,9398100,49.288,49.528,48.903,47.867,52.151,47.614,52.393,57.254,49.062,49.58,-0.519,-1.062
16-04-2020,53.14,51.68,51.81,52.4,18615900,52.008,49.954,49.492,48.269,52.048,48.301,52.299,70.523,49.575,49.789,-0.214,-0.893
17-04-2020,54.19,53,54.13,53.69,11288500,53.288,51.026,50.048,48.759,51.964,48.85,52.246,69.829,50.208,50.078,0.13,-0.688
20-04-2020,53.82,52.56,53,52.59,9901700,52.196,51.794,50.601,49.162,51.855,49.35,52.167,69.68,50.575,50.264,0.31,-0.488
21-04-2020,51.81,50.52,51.6,51.37,13102500,50.985,51.942,50.741,49.467,51.759,49.699,52.057,55.663,50.697,50.346,0.351,-0.321
22-04-2020,53.11,52.41,52.48,52.95,8256000,52.553,52.6,51.064,49.671,51.677,49.889,52.019,61.797,51.044,50.539,0.505,-0.156
23-04-2020,53.13,52.26,52.81,52.64,7619900,52.246,52.648,51.301,49.853,51.557,50.043,51.96,58.81,51.289,50.695,0.595,-0.005
24-04-2020,52.89,52,52.6,52.73,5701800,52.335,52.456,51.741,49.996,51.419,50.134,51.903,68.966,51.511,50.845,0.666,0.129
27-04-2020,53.75,52.97,53.15,53.51,5812300,53.109,52.64,52.217,50.326,51.302,50.458,51.853,69.9,51.818,51.043,0.776,0.258
28-04-2020,53.73,52.68,53.51,52.76,8561100,52.365,52.918,52.43,50.573,51.194,50.688,51.819,59.834,51.963,51.17,0.793,0.365
29-04-2020,54.69,53.43,53.75,54.48,8565500,54.072,53.224,52.912,50.908,51.16,51.022,51.81,70.812,52.35,51.415,0.935,0.479
30-04-2020,54.41,52.96,54.2,53.13,6337900,52.732,53.322,52.985,51.239,51.07,51.319,51.703,53.582,52.47,51.542,0.928,0.569
01-05-2020,52.56,51.09,52.48,51.1,10238700,50.717,52.996,52.726,51.387,50.962,51.414,51.625,38.152,52.26,51.509,0.75,0.605
04-05-2020,52.18,51.28,51.79,52.15,7514000,51.759,52.724,52.682,51.642,50.893,51.574,51.588,47.978,52.243,51.557,0.686,0.621
05-05-2020,52.58,51.58,52.21,51.71,7780700,51.323,52.514,52.716,51.728,50.845,51.643,51.538,51.683,52.161,51.568,0.593,0.616
06-05-2020,52.62,52,52.11,52.13,8206700,51.74,52.044,52.634,51.849,50.81,51.733,51.507,45.414,52.156,51.61,0.546,0.602
07-05-2020,52.98,52.1,52.95,52.33,5493400,51.938,51.884,52.603,51.952,50.756,51.8,51.439,48.245,52.183,51.663,0.52,0.585
08-05-2020,53.34,52.47,52.62,52.91,6087900,52.514,52.246,52.621,52.181,50.749,52.075,51.374,50.966,52.295,51.756,0.539,0.576
